year,month,origin,number_of_delayed_flights
2006,1,JFK,1924
2006,1,SFO,2128
2006,1,LAX,3008
2006,10,LAX,3722
2006,10,JFK,2444
2006,10,SFO,2174
2006,11,LAX,3210
2006,11,JFK,2618
2006,11,SFO,2559
2006,12,SFO,3016
2006,12,LAX,4401
2006,12,JFK,3257
2006,2,LAX,3436
2006,2,JFK,1548
2006,2,SFO,2474
2006,3,LAX,4201
2006,3,JFK,1470
2006,3,SFO,3403
2006,4,JFK,1321
2006,4,LAX,3518
2006,4,SFO,2649
2006,5,SFO,1949
2006,5,JFK,1255
2006,5,LAX,3007
2006,6,JFK,2047
2006,6,SFO,2530
2006,6,LAX,3462
2006,7,LAX,3798
2006,7,SFO,2287
2006,7,JFK,2860
2006,8,SFO,2512
2006,8,LAX,3931
2006,8,JFK,2595
2006,9,LAX,2970
2006,9,SFO,1898
2006,9,JFK,2166
2007,1,LAX,3655
2007,1,SFO,2080
2007,1,JFK,2865
2007,10,JFK,2110
2007,10,LAX,3077
2007,10,SFO,2823
2007,11,LAX,3422
2007,11,JFK,1967
2007,11,SFO,2524
2007,12,JFK,2947
2007,12,SFO,3432
2007,12,LAX,5439
2007,2,LAX,3754
2007,2,SFO,2751
2007,2,JFK,2913
2007,3,SFO,1805
2007,3,LAX,3494
2007,3,JFK,3664
2007,4,JFK,3319
2007,4,LAX,3191
2007,4,SFO,2126
2007,5,JFK,2477
2007,5,LAX,2682
2007,5,SFO,2287
2007,6,JFK,3653
2007,6,LAX,3779
2007,6,SFO,2962
2007,7,SFO,3185
2007,7,JFK,3701
2007,7,LAX,4360
2007,8,JFK,3752
2007,8,LAX,4212
2007,8,SFO,3007
2007,9,SFO,2173
2007,9,JFK,1728
2007,9,LAX,2716
